Product,Brand,Line,Comments,ProductType,LowPorosity,HighPorosity,Fine,Coarse,Frizz,Dry,Volume,URL,Image
"Carol’s Daughter Coco Creme Curl Perfecting Water Coco Mist, with Coconut Water, Silicone Free Curl Refresher Spray, Paraben Free Curl Activating Mist for Very Dry, Curly To Coily Hair, 5, 8.4 Fl Oz",Carol's Daughter,Styling,756,,0.6,1.0,0.7547169811320755,0.5806451612903226,0.4897959183673469,0.47058823529411764,1.0,https://www.amazon.com/Carols-Daughter-Perfecting-Refresher-Activating/dp/B08KXG3QQV?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/31OAqSeCa+L._SY300_SX300_.jpg
"Curly Hair Products Gift Set by Carol's Daughter, Coco Creme Sulfate Free Shampoo and Conditioner Set with Silicone Free Hair Butter, for Very Dry Curly Hair, with Coconut Oil and Mango Butter",Carol's Daughter,Shampoos and Conditioners,756,"shampoo, conditioner",0.6,1.0,0.7547169811320755,0.5806451612903226,0.4897959183673469,0.47058823529411764,1.0,https://www.amazon.com/Products-Carols-Daughter-Conditioner-Silicone/dp/B07R4Y4TJW?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/814htY8pTIL._SX679_.jpg
"Carol’s Daughter Coco Creme Curl Quenching Deep Moisture Hair Mask for Very Dry Hair, with Coconut Oil and Mango Butter, Hair Mask for Curly Hair, 12 oz",Carol's Daughter,Masks and Treatments,756,mask,0.6,1.0,0.7547169811320755,0.5806451612903226,0.4897959183673469,0.47058823529411764,1.0,https://www.amazon.com/Products-Carols-Daughter-Quenching-Packaging/dp/B07CMFW12F?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81cZjDYwNxL._SX679_.jpg
"Carol’s Daughter Coco Creme Curl Shaping Cream Gel, with Coconut Oil, Coconut Milk, Silicone Free, Paraben Free Hair Gel for Curly Hair , Mineral Oil Free, for Very Dry Hair, 16 Oz",Carol's Daughter,Styling,756,"gel/custard, cream",0.6,1.0,0.7547169811320755,0.5806451612903226,0.4897959183673469,0.47058823529411764,1.0,https://www.amazon.com/Carols-Daughter-Shaping-Coconut-Silicone/dp/B08KXDC2TY?ref_=ast_sto_dp&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/41tSP6eOwXL._SX300_SY300_QL70_FMwebp_.jpg
"Carol’s Daughter Coco Creme Coil Enhancing Moisture Butter for Very Dry Hair, with Coconut Oil and Mango Butter, Paraben Free and Silicone Free Butter for Curly Hair, 12 oz",Carol's Daughter,Styling,756,,0.6,1.0,0.7547169811320755,0.5806451612903226,0.4897959183673469,0.47058823529411764,1.0,https://www.amazon.com/Products-Carols-Daughter-Enhancing-Moisture/dp/B07HYZCNKT?ref_=ast_sto_dp&th=1&psc=1,https://images-na.ssl-images-amazon.com/images/I/51wFBmuZbgL._SX300_SY300_QL70_FMwebp_.jpg
"Carol’s Daughter Coco Creme Curl Quenching Conditioner for Very Dry Hair, with Coconut Oil, Paraben Free Hair Conditioner for Curly Hair, 12 oz",Carol's Daughter,Shampoos and Conditioners,756,conditioner,0.6,1.0,0.7547169811320755,0.5806451612903226,0.4897959183673469,0.47058823529411764,1.0,https://www.amazon.com/Carols-Daughter-Creme-Creamy-Conditioner/dp/B07CMJDFF1?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81r3tnBypNL._SX679_.jpg
"Carol’s Daughter Coco Creme Curl Quenching Sulfate Free Shampoo for Very Dry Hair, with Coconut Oil and Mango Butter, Sulfate Free Shampoo for Curly Hair, 12 fl oz",Carol's Daughter,Shampoos and Conditioners,756,shampoo,0.6,1.0,0.7547169811320755,0.5806451612903226,0.4897959183673469,0.47058823529411764,1.0,https://www.amazon.com/Carols-Daughter-Creme-Sulfate-free-Shampoo/dp/B07CMFXZRX?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81jygrylqbL._SX679_.jpg
"GIOVANNI Eco Chic Frizz Be Gone, 2.75 oz. - Super Smoothing Anti-Frizz Hair Serum, Adds Shine, Seals in Color, Wash & Go, Infused with Conditioners, No Parabens, Color Safe (Pack of 3)",Giovanni,Curly Girl Products,708,conditioner,1.0,1.0,0.6363636363636364,0.543859649122807,0.7188940092165899,0.7777777777777778,0.2222222222222222,https://www.amazon.com/GIOVANNI-Chic-Frizz-Gone-2-75/dp/B001ET78CY?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71g60b+5tNL._SX679_.jpg
"Carol's Daughter Black Vanilla Moisture and Shine Edge Control Smoother For Dry Hair and Dull Hair, with Aloe and Honey, Clear Edge Smoother, Edge Tamer, 2 oz (Packaging May Vary)",Carol's Daughter,Styling,687,,0.0,0.0,0.125,0.2857142857142857,0.625,0.40625,-1.0,https://www.amazon.com/Carols-Daughter-Moisture-Smoother-Packaging/dp/B00WCJGH54?ref_=ast_sto_dp,https://images-na.ssl-images-amazon.com/images/I/51A3xx5wlGL._SX300_SY300_QL70_FMwebp_.jpg
"Carol’s Daughter Black Vanilla Moisture & Shine Leave In Conditioner for Dry Hair and Dull Hair, with Aloe, Vitamin B5 and Wheat Protein, 8 fl oz",Carol's Daughter,Leave-Ins,651,"conditioner, leave-in",0.3333333333333333,1.0,0.375,0.4666666666666667,-0.044444444444444446,-0.13559322033898305,1.0,https://www.amazon.com/Carols-Daughter-Moisture-Conditioner-Packaging/dp/B001AWXPAY?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/812hy6JiL-L._SX679_.jpg
