,Product,URL,Image
0,"Squeaky Clarifying Cleanser, 8 oz",https://www.amazon.com/Uncle-Funkys-Daughter-Squeaky-Cleansing/dp/B00P8A97GK?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/71nGdN43c0L._SY879_.jpg
1,Rich & Funky Moisturizing Shampoo,https://www.amazon.com/Uncle-Funkys-Daughter-Moisturizing-Shampoo/dp/B00P8CXQOW?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/713tEt2JGuL._SX679_.jpg
2,Bye-Bye Buildup,https://www.amazon.com/Bye-Bye-Buildup-Cleansing-Conditioner-Co-wash/dp/B07CMD5QKJ?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51MLa0iXrHL._SX679_.jpg
3,"Defunk Hair Odor Neutralizing Tonic, 8 oz",https://www.amazon.com/Uncle-Funkys-Daughter-Defunk-Refresher/dp/B00P8CEG3W?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/71xIx7o3beL._SY879_.jpg
4,Squeaky 32oz,https://www.amazon.com/Uncle-Funkys-Daughter-Squeaky-32oz/dp/B087KWZK9X?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/71Iqlq4coYL._SY879_.jpg
5,Maximum Thermal Protection Purifying Cleanser,https://www.amazon.com/Maximum-Thermal-Protection-Purifying-Cleanser/dp/B096YHP2DZ?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61hBPRFdgpS._SY879_.jpg
