,Product,URL,Image
0,"Richee Rich Moisturizing Conditioner, 8 oz",https://www.amazon.com/Uncle-Funkys-Daughter-Moisturizing-Conditioner/dp/B00P8B25HW?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/71PK2fMP16L._SY879_.jpg
1,Heal & Renew,https://www.amazon.com/Uncle-Funkys-Daughter-Heal-Renew/dp/B07CMJ2WXF?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/81N2hqK2vpL._SX679_.jpg
2,Midnite Train,https://www.amazon.com/Uncle-Funkys-Daughter-Midnite-Conditioner/dp/B00P8BFN8K?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/71P3iH6uh7L._SY879_.jpg
3,Maximum Thermal Protection Deep Conditioner,https://www.amazon.com/Maximum-Thermal-Protection-Deep-Conditioner/dp/B096YJ5CSB?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51+AcO9FEZS._SY879_.jpg
4,Richee Rich 32oz,https://www.amazon.com/Uncle-Funkys-Daughter-Richee-Rich/dp/B08V4XFBV7?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/51CCeUFn6uL._SY879_.jpg
