,Product,URL,Image
0,Curly Magic,https://www.amazon.com/Curly-Magic-Curl-Stimulator-18/dp/B008MAGW3Y?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81WGACPbPLL._SY879_.jpg
1,Thirsty Curls,https://www.amazon.com/Thirsty-Curls-Leave-Curl-Refresher/dp/B00P7CVP7I?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/81J9+AEM3hL._SY879_.jpg
2,Glossy,https://www.amazon.com/Uncle-Funkys-Daughter-Glossy-Finishing/dp/B00P8BY232?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/71gde2wfF8L._SY879_.jpg
3,Curly Magic 32 OZ,https://www.amazon.com/Curly-Magic-Curl-Stimulator-32/dp/B072W3WSVC?ref_=ast_sto_dp&th=1&psc=1,https://m.media-amazon.com/images/I/61zW7GTm7wL._SX679_.jpg
4,Maximum Thermal Protection Primer,https://www.amazon.com/Uncle-Funkys-Daughter-Maximum-Protection/dp/B096YN8653?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61MdmIaeSBS._SY879_.jpg
5,Maximum Thermal Protection Split End Serum,https://www.amazon.com/Maximum-Thermal-Protection-Split-Serum/dp/B096YPFQZ9?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/61SvV4O69sS._SY879_.jpg
6,Maximum Thermal Protection 3 In 1 Shine Booster,https://www.amazon.com/Maximum-Thermal-Protection-Shine-Booster/dp/B096YR74MF?ref_=ast_sto_dp,https://m.media-amazon.com/images/I/612NxCmJ4GS._SY879_.jpg
